"salefactid","saleid","saledate","customer.customerid","customer.firstname","customer.lastname","customer.phone","customer.address","customer.city","customer.state","customer.zipcode","animal.animalid","animal.name","animal.category","animal.breed","animal.dateborn","animal.gender","animal.registered","animal.color","animal.listprice","merchandise.merchandiseid","merchandise.description","merchandise.quantityonhand","merchandise.listprice","merchandise.category","quantity","saleprice","salestax"
260,109,"2004-01-29",30,"Rodney","Edmunds","(919) 014-7544","5560 Greenfield Lane","Chapel Hill","NC","27514",,"","","","","","","",,18,"Cat Food-Can-Premium",1874,1,"Cat",1,0.9,27.07
261,109,"2004-01-29",30,"Rodney","Edmunds","(919) 014-7544","5560 Greenfield Lane","Chapel Hill","NC","27514",,"","","","","","","",,21,"Bird Cage-Medium",5,25,"Bird",1,22.5,27.07
262,109,"2004-01-29",30,"Rodney","Edmunds","(919) 014-7544","5560 Greenfield Lane","Chapel Hill","NC","27514",,"","","","","","","",,38,"Brush-Soft",50,8,"Cat",1,7.2,27.07
263,110,"2004-03-05",19,"Lisa","Zhang","(505) 825-4065","477 Rolling Acres Drive","Santa Fe","NM","87501",108,"Anissa","Dog","Bloodhound","2004-04-04","Female","AKC","Brown",169.13,,"",,,"",1,152.22,9.13
264,111,"2004-02-10",23,"Jerome","Cummings","(606) 084-6983","2501 Club Circle","Westwoods","KY","41101",116,"","Bird","Parrot","2004-06-01","Male","","Blue/Gold",133.01,,"",,,"",1,119.71,7.18
265,112,"2004-02-19",9,"Elwood","Henson","(702) 533-3419","4042 West Ridge Drive","Las Vegas","NV","89125",118,"","Fish","Guppy","2004-05-05","Female","","Brown",4,,"",,,"",1,3.6,7.99
266,112,"2004-02-19",9,"Elwood","Henson","(702) 533-3419","4042 West Ridge Drive","Las Vegas","NV","89125",,"","","","","","","",,23,"Aquarium-25 gal",28,75,"Fish",1,67.5,7.99
267,112,"2004-02-19",9,"Elwood","Henson","(702) 533-3419","4042 West Ridge Drive","Las Vegas","NV","89125",,"","","","","","","",,25,"Fish Food",113,3,"Fish",3,2.7,7.99
268,112,"2004-02-19",9,"Elwood","Henson","(702) 533-3419","4042 West Ridge Drive","Las Vegas","NV","89125",,"","","","","","","",,27,"Aquarium Filter + Pump",18,35,"Fish",1,31.5,7.99
269,112,"2004-02-19",9,"Elwood","Henson","(702) 533-3419","4042 West Ridge Drive","Las Vegas","NV","89125",,"","","","","","","",,28,"Aquarium Light",65,25,"Fish",1,22.5,7.99
270,113,"2004-02-16",37,"Fannie","McPherson","(517) 039-8300","4184 Tick Ridge Road","Hillsdale","MI","48924",85,"Dwight","Dog","Dachshund","2004-03-03","Male","AKC","Brown",178.64,,"",,,"",1,160.78,11.67
271,113,"2004-02-16",37,"Fannie","McPherson","(517) 039-8300","4184 Tick Ridge Road","Hillsdale","MI","48924",,"","","","","","","",,6,"Cat Bed-Medium",35,35,"Cat",1,31.5,11.67
272,113,"2004-02-16",37,"Fannie","McPherson","(517) 039-8300","4184 Tick Ridge Road","Hillsdale","MI","48924",,"","","","","","","",,15,"Dog Food-Can-Regular",452,0.4,"Dog",6,0.36,11.67
273,114,"2004-10-08",80,"Juanita","Vance","(515) 846-5222","8916 High Street","Ames","IA","50010",94,"Jean","Dog","Siberian Huskie","2004-07-01","Female","AKC","White/Brown",223.38,,"",,,"",1,201.04,12.06
274,115,"2004-06-04",60,"Lou Ann","Baez","(502) 029-3909","2528 Hot Springs Avenue","Campbellsville","KY","42718",117,"Wallace","Cat","Other","2004-08-09","Male","CFA","Brown",50,,"",,,"",1,45,2.7
275,116,"2004-09-20",38,"Jay","Franklin","(307) 477-8112","9105 Ridge Top Road","Laramie","WY","82070",119,"DuJuan","Reptile","Boa Constrictor","2004-04-26","Male","","Brown/Gold",202.56,,"",,,"",1,182.31,10.94
276,117,"2004-08-20",95,"Clarence","Kinser","(715) 140-4710","6964 Poplar Ridge Road","Eau Claire","WI","54701",124,"Trina","Cat","Oriental Shorthair","2004-05-25","Female","CFA","Gray",187.7,,"",,,"",1,168.93,10.14
277,118,"2004-01-30",72,"Gayle","Bailey","(360) 649-9754","8233 Whisper Woods Road","Silver Lake-Fircrest","WA","98201",122,"Gayle","Cat","Bombay","2004-02-14","Female","CFA","Black",282.84,,"",,,"",1,254.56,16.19
278,118,"2004-01-30",72,"Gayle","Bailey","(360) 649-9754","8233 Whisper Woods Road","Silver Lake-Fircrest","WA","98201",,"","","","","","","",,18,"Cat Food-Can-Premium",1874,1,"Cat",1,0.9,16.19
279,118,"2004-01-30",72,"Gayle","Bailey","(360) 649-9754","8233 Whisper Woods Road","Silver Lake-Fircrest","WA","98201",,"","","","","","","",,35,"Collar-Cat",150,8,"Cat",1,7.2,16.19
280,118,"2004-01-30",72,"Gayle","Bailey","(360) 649-9754","8233 Whisper Woods Road","Silver Lake-Fircrest","WA","98201",,"","","","","","","",,38,"Brush-Soft",50,8,"Cat",1,7.2,16.19
281,119,"2004-06-02",39,"Dorothy","Williams","(304) 352-8602","9286 Jackson Avenue","Teays Valley","WV","25550",126,"Pierre","Cat","Maine Coon","2004-04-11","Male","CFA","Brown/Yellow",189.27,,"",,,"",1,170.34,10.22
282,120,"2004-06-20",6,"Searoba","Hopkins","(606) 740-3304","3183 Highland Court","Harrodsburg","KY","40330",113,"Courtney","Dog","Boston Terrier","2004-03-12","Female","AKC","Black",142.61,,"",,,"",1,128.36,9.7
283,120,"2004-06-20",6,"Searoba","Hopkins","(606) 740-3304","3183 Highland Court","Harrodsburg","KY","40330",,"","","","","","","",,33,"Collar-Dog-Medium",92,15,"Dog",1,13.5,9.7
284,120,"2004-06-20",6,"Searoba","Hopkins","(606) 740-3304","3183 Highland Court","Harrodsburg","KY","40330",,"","","","","","","",,36,"Leash",172,22,"Dog",1,19.8,9.7
285,121,"2004-06-06",73,"Hershel","Keen","(603) 075-7437","8124 Industrial Drive","Nashua","NH","03060",128,"Henry","Dog","German Shepherd","2004-07-16","Male","AKC","Black/White",155.95,,"",,,"",1,140.36,14.2
286,121,"2004-06-06",73,"Hershel","Keen","(603) 075-7437","8124 Industrial Drive","Nashua","NH","03060",,"","","","","","","",,3,"Dog Kennel-Large",13,85,"Dog",1,58.5,14.2
287,121,"2004-06-06",73,"Hershel","Keen","(603) 075-7437","8124 Industrial Drive","Nashua","NH","03060",,"","","","","","","",,34,"Collar-Dog-Large",132,20,"Dog",1,18,14.2
288,121,"2004-06-06",73,"Hershel","Keen","(603) 075-7437","8124 Industrial Drive","Nashua","NH","03060",,"","","","","","","",,36,"Leash",172,22,"Dog",1,19.8,14.2
289,122,"2004-10-11",29,"Kelly","Moore","(802) 078-4749","6116 Clearview Street","Middlebury","VT","05753",121,"Rachel","Dog","Norfolk Terrier","2004-08-02","Female","AKC","Gray",284.54,,"",,,"",1,256.09,15.37
290,123,"2004-04-05",35,"Kimberly","Adams","(406) 987-9338","5064 Pleasant Valley Drive","Kalispell","MT","59901",129,"","Fish","Snail","2004-08-02","Male","","Yellow",16,,"",,,"",1,14.4,2.21
291,123,"2004-04-05",35,"Kimberly","Adams","(406) 987-9338","5064 Pleasant Valley Drive","Kalispell","MT","59901",,"","","","","","","",,28,"Aquarium Light",65,25,"Fish",1,22.5,2.21
292,124,"2004-02-17",48,"Dwight","Parrish","(508) 201-2483","9904 Plum Springs Road","Worcester","MA","01613",106,"Taylor","Cat","Oriental Shorthair","2004-02-21","Male","CFA","Yellow/Black",220.94,,"",,,"",1,198.85,11.93
293,125,"2004-06-11",76,"Evelyn","Montgomery","(304) 062-1621","6386 Main Street","Teays Valley","WV","25550",127,"Beth","Cat","British Blue","2004-01-09","Female","CFA","Gray/Blue",195.72,,"",,,"",1,176.15,10.57
294,126,"2004-11-09",90,"Connie","Nichols","(408) 427-2162","4039 Greensburg Street","Milpitas","CA","95035",133,"Anissa","Cat","Canadian Hairless","2004-07-13","Female","CFA","Gray",328.17,,"",,,"",1,295.36,17.72
295,127,"2004-10-17",65,"Linda","Riggs","(817) 528-7955","593 White Oak Court","White Settlement","TX","76101",134,"","Reptile","Gila Monster","2004-02-08","Male","","Brown",182.36,,"",,,"",1,164.13,14.44
296,127,"2004-10-17",65,"Linda","Riggs","(817) 528-7955","593 White Oak Court","White Settlement","TX","76101",,"","","","","","","",,20,"Wood Shavings/Bedding",141,10,"Mammal",1,9,14.44
297,127,"2004-10-17",65,"Linda","Riggs","(817) 528-7955","593 White Oak Court","White Settlement","TX","76101",,"","","","","","","",,23,"Aquarium-25 gal",28,75,"Fish",1,67.5,14.44
298,128,"2004-04-09",43,"Jasper","Killen","(517) 057-3491","4869 Sequoia Lane","Hillsdale","MI","48924",120,"Chester","Dog","Keeshond","2004-02-25","Male","AKC","Black",216.91,,"",,,"",1,195.23,13.98
299,128,"2004-04-09",43,"Jasper","Killen","(517) 057-3491","4869 Sequoia Lane","Hillsdale","MI","48924",,"","","","","","","",,34,"Collar-Dog-Large",132,20,"Dog",1,18,13.98
300,128,"2004-04-09",43,"Jasper","Killen","(517) 057-3491","4869 Sequoia Lane","Hillsdale","MI","48924",,"","","","","","","",,36,"Leash",172,22,"Dog",1,19.8,13.98
301,129,"2004-09-24",58,"Sam","McCain","(703) 543-0176","445 Industrial Drive","Tysons Corner","VA","22101",92,"Terry","Bird","Lovebird","2004-02-04","Male","","White",180.16,,"",,,"",1,162.15,11.08
302,129,"2004-09-24",58,"Sam","McCain","(703) 543-0176","445 Industrial Drive","Tysons Corner","VA","22101",,"","","","","","","",,21,"Bird Cage-Medium",5,25,"Bird",1,22.5,11.08
303,130,"2004-03-06",9,"Elwood","Henson","(702) 533-3419","4042 West Ridge Drive","Las Vegas","NV","89125",136,"","Bird","Other","2004-08-11","Male","","White",206.77,,"",,,"",1,186.1,11.17
304,131,"2004-04-23",59,"Cindy","Rhodes","(360) 917-7520","7425 Virginia Street","Tanglewilde-Thompson Place","WA","98501",132,"Dennis","Cat","Angora","2004-07-13","Male","","White",157.01,,"",,,"",1,141.31,8.91
305,131,"2004-04-23",59,"Cindy","Rhodes","(360) 917-7520","7425 Virginia Street","Tanglewilde-Thompson Place","WA","98501",,"","","","","","","",,37,"Brush-Stiff",34,8,"Dog",1,7.2,8.91
306,132,"2004-02-17",28,"Gina","Samuels","(408) 575-7000","2026 Homewood Blvd.","Milpitas","CA","95035",131,"Elvis","Dog","Mastiff","2004-03-11","Male","AKC","Black",214.39,,"",,,"",1,192.96,11.58
307,133,"2004-03-19",54,"Mark","Green","(502) 971-2715","8968 Camino Circle","Fern Creek","KY","40291",139,"Claudia","Dog","Doberman","2004-08-02","Female","AKC","Black",220.97,,"",,,"",1,198.88,14.66
308,133,"2004-03-19",54,"Mark","Green","(502) 971-2715","8968 Camino Circle","Fern Creek","KY","40291",,"","","","","","","",,31,"Flea Collar-Dog-Large",1018,8.5,"Dog",1,7.65,14.66
309,133,"2004-03-19",54,"Mark","Green","(502) 971-2715","8968 Camino Circle","Fern Creek","KY","40291",,"","","","","","","",,34,"Collar-Dog-Large",132,20,"Dog",1,18,14.66
310,133,"2004-03-19",54,"Mark","Green","(502) 971-2715","8968 Camino Circle","Fern Creek","KY","40291",,"","","","","","","",,36,"Leash",172,22,"Dog",1,19.8,14.66
311,134,"2004-02-18",75,"Sharon","Sexton","(802) 433-5007","2551 Elementary Drive","Barre","VT","05641",141,"MaryJo","Dog","Pit Bull","2004-06-22","Female","AKC","Brown",234.51,,"",,,"",1,211.06,13.85
312,134,"2004-02-18",75,"Sharon","Sexton","(802) 433-5007","2551 Elementary Drive","Barre","VT","05641",,"","","","","","","",,36,"Leash",172,22,"Dog",1,19.8,13.85
313,135,"2004-10-11",58,"Sam","McCain","(703) 543-0176","445 Industrial Drive","Tysons Corner","VA","22101",197,"","Spider","Tarantula","2004-06-10","Female","","Black",221.85,,"",,,"",1,199.67,16.57
314,135,"2004-10-11",58,"Sam","McCain","(703) 543-0176","445 Industrial Drive","Tysons Corner","VA","22101",,"","","","","","","",,20,"Wood Shavings/Bedding",141,10,"Mammal",1,9,16.57
315,135,"2004-10-11",58,"Sam","McCain","(703) 543-0176","445 Industrial Drive","Tysons Corner","VA","22101",,"","","","","","","",,23,"Aquarium-25 gal",28,75,"Fish",1,67.5,16.57
316,136,"2004-02-21",42,"Jackie","Froedge","(615) 041-1934","243 West Ridge Drive","Brentwood","TN","37027",137,"","Fish","Shark","2004-01-24","Female","","Gray",238.52,,"",,,"",1,214.67,12.88
317,137,"2004-10-26",46,"Cassy","Tuck","(201) 654-2441","7977 Fairways Drive","Clifton","NJ","07015",130,"Darrell","Dog","Greyhound","2004-07-14","Male","AKC","Gray",157.83,,"",,,"",1,142.05,22.19
318,137,"2004-10-26",46,"Cassy","Tuck","(201) 654-2441","7977 Fairways Drive","Clifton","NJ","07015",143,"Leisha","Cat","Korat","2004-05-20","Female","CFA","Brown",163.07,,"",,,"",1,146.76,22.19
319,137,"2004-10-26",46,"Cassy","Tuck","(201) 654-2441","7977 Fairways Drive","Clifton","NJ","07015",,"","","","","","","",,11,"Dog Food-Dry-50 pound",373,30,"Dog",1,27,22.19
320,137,"2004-10-26",46,"Cassy","Tuck","(201) 654-2441","7977 Fairways Drive","Clifton","NJ","07015",,"","","","","","","",,14,"Cat Food-Dry-25 pound",300,18,"Cat",1,16.2,22.19
321,137,"2004-10-26",46,"Cassy","Tuck","(201) 654-2441","7977 Fairways Drive","Clifton","NJ","07015",,"","","","","","","",,34,"Collar-Dog-Large",132,20,"Dog",1,18,22.19
322,137,"2004-10-26",46,"Cassy","Tuck","(201) 654-2441","7977 Fairways Drive","Clifton","NJ","07015",,"","","","","","","",,36,"Leash",172,22,"Dog",1,19.8,22.19
323,138,"2004-08-16",74,"Frieda","Hinton","(606) 241-3182","9015 Cherokee Road","Florence","KY","41042",125,"Harlen","Dog","Cocker Spaniel","2004-03-17","Male","AKC","Yellow",193.08,,"",,,"",1,173.77,10.43
324,139,"2004-03-14",36,"Lloyd","Holland","(501) 071-2650","9011 Bayshore Drive","Little Rock","AR","72201",145,"Ruby","Dog","Weimaraner","2004-03-23","Female","AKC","Brown",201.85,,"",,,"",1,181.67,11.74
325,139,"2004-03-14",36,"Lloyd","Holland","(501) 071-2650","9011 Bayshore Drive","Little Rock","AR","72201",,"","","","","","","",,9,"Dog Food-Dry-10 pound",211,7.5,"Dog",1,6.75,11.74
326,139,"2004-03-14",36,"Lloyd","Holland","(501) 071-2650","9011 Bayshore Drive","Little Rock","AR","72201",,"","","","","","","",,38,"Brush-Soft",50,8,"Cat",1,7.2,11.74
327,140,"2004-03-14",95,"Clarence","Kinser","(715) 140-4710","6964 Poplar Ridge Road","Eau Claire","WI","54701",146,"Kevin","Cat","Siamese","2004-03-24","Male","CFA","White",93.07,,"",,,"",1,83.77,5.03
328,141,"2004-03-19",46,"Cassy","Tuck","(201) 654-2441","7977 Fairways Drive","Clifton","NJ","07015",148,"Wayne","Dog","Akita","2004-02-09","Male","AKC","White",257.89,,"",,,"",1,232.11,13.93
329,142,"2004-01-30",69,"Mandy","Elliott","(919) 205-8147","4839 Long Hollow Pike","Chapel Hill","NC","27514",150,"Brian","Dog","Norfolk Terrier","2004-01-03","Male","AKC","Yellow",168.8,,"",,,"",1,151.92,24.39
330,142,"2004-01-30",69,"Mandy","Elliott","(919) 205-8147","4839 Long Hollow Pike","Chapel Hill","NC","27514",160,"Rufus","Dog","Cocker Spaniel","2004-01-02","Male","AKC","Yellow",176.79,,"",,,"",1,159.12,24.39
331,142,"2004-01-30",69,"Mandy","Elliott","(919) 205-8147","4839 Long Hollow Pike","Chapel Hill","NC","27514",,"","","","","","","",,7,"Dog Toy",134,4,"Dog",2,3.6,24.39
332,142,"2004-01-30",69,"Mandy","Elliott","(919) 205-8147","4839 Long Hollow Pike","Chapel Hill","NC","27514",,"","","","","","","",,11,"Dog Food-Dry-50 pound",373,30,"Dog",1,27,24.39
333,142,"2004-01-30",69,"Mandy","Elliott","(919) 205-8147","4839 Long Hollow Pike","Chapel Hill","NC","27514",,"","","","","","","",,32,"Collar-Dog-Small",47,12,"Dog",2,10.8,24.39
334,142,"2004-01-30",69,"Mandy","Elliott","(919) 205-8147","4839 Long Hollow Pike","Chapel Hill","NC","27514",,"","","","","","","",,36,"Leash",172,22,"Dog",2,19.8,24.39
335,143,"2004-02-17",51,"Clyde","Jernigan","(715) 483-7737","5325 Cherry Street","River Falls","WI","54022",135,"","Mammal","Ferret","2004-07-24","Female","","Brown",125.23,,"",,,"",1,112.71,8.11
336,143,"2004-02-17",51,"Clyde","Jernigan","(715) 483-7737","5325 Cherry Street","River Falls","WI","54022",,"","","","","","","",,21,"Bird Cage-Medium",5,25,"Bird",1,22.5,8.11
337,144,"2004-01-27",59,"Cindy","Rhodes","(360) 917-7520","7425 Virginia Street","Tanglewilde-Thompson Place","WA","98501",151,"Lester","Bird","Parrot","2004-04-09","Male","","Red",244.19,,"",,,"",1,219.78,17.24
338,144,"2004-01-27",59,"Cindy","Rhodes","(360) 917-7520","7425 Virginia Street","Tanglewilde-Thompson Place","WA","98501",,"","","","","","","",,22,"Bird Cage-Large",15,75,"Bird",1,67.5,17.24
339,145,"2004-03-25",8,"Cora","Reid","(606) 688-8141","8351 Locust Street","Bellevue","KY","41073",149,"Elizabeth","Cat","Tonkinese","2004-06-06","Female","CFA","Yellow",138.82,,"",,,"",1,124.94,26.37
340,145,"2004-03-25",8,"Cora","Reid","(606) 688-8141","8351 Locust Street","Bellevue","KY","41073",153,"Owen","Cat","Manx","2004-06-28","Male","","Yellow",234.54,,"",,,"",1,211.09,26.37
341,145,"2004-03-25",8,"Cora","Reid","(606) 688-8141","8351 Locust Street","Bellevue","KY","41073",,"","","","","","","",,6,"Cat Bed-Medium",35,35,"Cat",2,31.5,26.37
342,145,"2004-03-25",8,"Cora","Reid","(606) 688-8141","8351 Locust Street","Bellevue","KY","41073",,"","","","","","","",,8,"Cat Toy",182,3,"Cat",3,2.7,26.37
343,145,"2004-03-25",8,"Cora","Reid","(606) 688-8141","8351 Locust Street","Bellevue","KY","41073",,"","","","","","","",,18,"Cat Food-Can-Premium",1874,1,"Cat",20,0.9,26.37
344,145,"2004-03-25",8,"Cora","Reid","(606) 688-8141","8351 Locust Street","Bellevue","KY","41073",,"","","","","","","",,38,"Brush-Soft",50,8,"Cat",2,7.2,26.37
345,146,"2004-03-19",98,"Wilmer","Pardue","(701) 691-3002","1790 N. Main Street","Fargo","ND","58102",140,"Cal","Cat","Persian","2004-07-21","Male","CFA","White",134.8,,"",,,"",1,121.33,7.28
346,147,"2004-03-19",18,"David","Lawrence","(414) 331-5679","9326 Halltown Road","Beaver Dam","WI","53916",156,"Alvin","Dog","Collie","2004-01-21","Male","AKC","Yellow",280.59,,"",,,"",1,252.53,18.01
347,147,"2004-03-19",18,"David","Lawrence","(414) 331-5679","9326 Halltown Road","Beaver Dam","WI","53916",,"","","","","","","",,10,"Dog Food-Dry-25 pound",100,16,"Dog",1,14.4,18.01
348,147,"2004-03-19",18,"David","Lawrence","(414) 331-5679","9326 Halltown Road","Beaver Dam","WI","53916",,"","","","","","","",,33,"Collar-Dog-Medium",92,15,"Dog",1,13.5,18.01
349,147,"2004-03-19",18,"David","Lawrence","(414) 331-5679","9326 Halltown Road","Beaver Dam","WI","53916",,"","","","","","","",,36,"Leash",172,22,"Dog",1,19.8,18.01
350,148,"2004-07-29",80,"Juanita","Vance","(515) 846-5222","8916 High Street","Ames","IA","50010",176,"DuJuan","Dog","Coon Hound","2004-05-14","Male","AKC","Brown",295.28,,"",,,"",1,162.84,12.63
351,148,"2004-07-29",80,"Juanita","Vance","(515) 846-5222","8916 High Street","Ames","IA","50010",,"","","","","","","",,10,"Dog Food-Dry-25 pound",100,16,"Dog",1,14.4,12.63
352,148,"2004-07-29",80,"Juanita","Vance","(515) 846-5222","8916 High Street","Ames","IA","50010",,"","","","","","","",,33,"Collar-Dog-Medium",92,15,"Dog",1,13.5,12.63
353,148,"2004-07-29",80,"Juanita","Vance","(515) 846-5222","8916 High Street","Ames","IA","50010",,"","","","","","","",,36,"Leash",172,22,"Dog",1,19.8,12.63
354,149,"2004-05-30",60,"Lou Ann","Baez","(502) 029-3909","2528 Hot Springs Avenue","Campbellsville","KY","42718",138,"Owen","Cat","Japanese Bobtail","2004-05-21","Male","CFA","White",232.46,,"",,,"",1,209.22,12.55
355,150,"2004-05-09",14,"Beth","Patterson","(614) 721-2870","3688 Long Hollow Pike","Columbus","OH","43216",154,"Orville","Dog","English Bulldog","2004-04-15","Male","AKC","Yellow",197.01,,"",,,"",1,177.31,12.64
356,150,"2004-05-09",14,"Beth","Patterson","(614) 721-2870","3688 Long Hollow Pike","Columbus","OH","43216",,"","","","","","","",,33,"Collar-Dog-Medium",92,15,"Dog",1,13.5,12.64
357,150,"2004-05-09",14,"Beth","Patterson","(614) 721-2870","3688 Long Hollow Pike","Columbus","OH","43216",,"","","","","","","",,36,"Leash",172,22,"Dog",1,19.8,12.64
358,151,"2004-07-30",5,"Charlotte","Anderson","(701) 384-5623","4333 Highland Court","Fargo","ND","58102",152,"Heather","Dog","Collie","2004-06-03","Female","AKC","Brown/Yellow",218.83,,"",,,"",1,196.95,11.82
359,152,"2004-06-02",30,"Rodney","Edmunds","(919) 014-7544","5560 Greenfield Lane","Chapel Hill","NC","27514",155,"Stephen","Cat","Siamese","2004-02-28","Male","","White",222.93,,"",,,"",1,200.64,24.79
360,152,"2004-06-02",30,"Rodney","Edmunds","(919) 014-7544","5560 Greenfield Lane","Chapel Hill","NC","27514",166,"Katy","Cat","Japanese Bobtail","2004-03-25","Female","CFA","Yellow",163.72,,"",,,"",1,147.35,24.79
361,152,"2004-06-02",30,"Rodney","Edmunds","(919) 014-7544","5560 Greenfield Lane","Chapel Hill","NC","27514",,"","","","","","","",,6,"Cat Bed-Medium",35,35,"Cat",2,31.5,24.79
362,152,"2004-06-02",30,"Rodney","Edmunds","(919) 014-7544","5560 Greenfield Lane","Chapel Hill","NC","27514",,"","","","","","","",,17,"Cat Food-Can-Regular",7470,0.5,"Cat",5,0.45,24.79
363,153,"2004-02-18",75,"Sharon","Sexton","(802) 433-5007","2551 Elementary Drive","Barre","VT","05641",142,"Susan","Dog","Siberian Huskie","2004-08-03","Female","AKC","White",180.93,,"",,,"",1,162.84,10.2
364,153,"2004-02-18",75,"Sharon","Sexton","(802) 433-5007","2551 Elementary Drive","Barre","VT","05641",,"","","","","","","",,16,"Dog Food-Can-Premium",1179,0.8,"Dog",10,0.72,10.2
365,154,"2004-11-05",27,"Archie","Mitchell","(608) 825-3740","1326 Cedar Avenue","Sun Prairie","WI","53590",144,"Dewey","Dog","Poodle-Toy","2004-05-07","Male","AKC","Black",182.6,,"",,,"",1,164.34,9.86
366,155,"2004-03-19",58,"Sam","McCain","(703) 543-0176","445 Industrial Drive","Tysons Corner","VA","22101",157,"","Bird","Parrot","2004-04-12","Male","","Red",237.81,,"",,,"",1,214.04,16.89
367,155,"2004-03-19",58,"Sam","McCain","(703) 543-0176","445 Industrial Drive","Tysons Corner","VA","22101",,"","","","","","","",,22,"Bird Cage-Large",15,75,"Bird",1,67.5,16.89
368,156,"2004-05-15",66,"Adrian","Greer","(606) 683-4113","6597 Skyline Drive","Danville","KY","40422",,"","","","","","","",,14,"Cat Food-Dry-25 pound",300,18,"Cat",2,6.3,14.79
369,156,"2004-05-15",66,"Adrian","Greer","(606) 683-4113","6597 Skyline Drive","Danville","KY","40422",,"","","","","","","",,16,"Dog Food-Can-Premium",1179,0.8,"Dog",10,0.72,14.79
370,156,"2004-05-15",66,"Adrian","Greer","(606) 683-4113","6597 Skyline Drive","Danville","KY","40422",159,"","Reptile","Python","2004-01-13","Male","","Black",141.98,,"",,,"",1,127.78,14.79
371,156,"2004-05-15",66,"Adrian","Greer","(606) 683-4113","6597 Skyline Drive","Danville","KY","40422",,"","","","","","","",,4,"Dog Kennel-Extra Large",6,110,"Dog",1,99,14.79
372,157,"2004-03-19",44,"Dale","Hammer","(412) 933-3710","9707 Elm Hill Circle","Scott Twp.","PA","15106",158,"Russell","Dog","Shetland Sheepdog","2004-03-20","Male","AKC","White/Brown",167.16,,"",,,"",1,150.45,10.86
373,157,"2004-03-19",44,"Dale","Hammer","(412) 933-3710","9707 Elm Hill Circle","Scott Twp.","PA","15106",,"","","","","","","",,34,"Collar-Dog-Large",132,20,"Dog",1,10.8,10.86
374,157,"2004-03-19",44,"Dale","Hammer","(412) 933-3710","9707 Elm Hill Circle","Scott Twp.","PA","15106",,"","","","","","","",,36,"Leash",172,22,"Dog",1,19.8,10.86
375,158,"2004-03-24",94,"Dan","Kennedy","(802) 458-4329","3108 Troon Court","South Burlington","VT","05401",161,"Bernard","Dog","Keeshond","2004-05-11","Male","","Red",244.9,,"",,,"",1,220.41,20.08
376,158,"2004-03-24",94,"Dan","Kennedy","(802) 458-4329","3108 Troon Court","South Burlington","VT","05401",,"","","","","","","",,4,"Dog Kennel-Extra Large",6,110,"Dog",1,76.5,20.08
377,158,"2004-03-24",94,"Dan","Kennedy","(802) 458-4329","3108 Troon Court","South Burlington","VT","05401",,"","","","","","","",,34,"Collar-Dog-Large",132,20,"Dog",1,18,20.08
378,158,"2004-03-24",94,"Dan","Kennedy","(802) 458-4329","3108 Troon Court","South Burlington","VT","05401",,"","","","","","","",,36,"Leash",172,22,"Dog",1,19.8,20.08
379,159,"2004-09-17",53,"David","Lawrence","(414) 331-5679","9326 Halltown Road","Beaver Dam","WI","53916",165,"Julie","Dog","Dalmation","2004-08-28","Female","AKC","Spotted",172.37,,"",,,"",1,155.14,15.25
380,159,"2004-09-17",53,"David","Lawrence","(414) 331-5679","9326 Halltown Road","Beaver Dam","WI","53916",,"","","","","","","",,4,"Dog Kennel-Extra Large",6,110,"Dog",1,99,15.25
381,160,"2004-08-24",27,"Archie","Mitchell","(608) 825-3740","1326 Cedar Avenue","Sun Prairie","WI","53590",168,"Ray","Cat","Japanese Bobtail","2004-06-04","Male","CFA","Black",225.68,,"",,,"",1,203.12,16.18
382,160,"2004-08-24",27,"Archie","Mitchell","(608) 825-3740","1326 Cedar Avenue","Sun Prairie","WI","53590",173,"","Mammal","Hamster","2004-06-06","Female","","Yellow",22,,"",,,"",1,19.8,16.18
383,160,"2004-08-24",27,"Archie","Mitchell","(608) 825-3740","1326 Cedar Avenue","Sun Prairie","WI","53590",,"","","","","","","",,1,"Dog Kennel-Small",11,45,"Dog",1,40.5,16.18
384,161,"2004-06-13",96,"Inez","Maynard","(913) 344-4761","3832 College Street","Manhattan","KS","66502",169,"Lorene","Dog","Coon Hound","2004-09-11","Female","","Yellow",132.48,,"",,,"",1,119.24,7.15
385,162,"2004-03-10",22,"Inga","Adkins","(706) 977-4337","8831 Cardinal Lane","Dalton","GA","30720",171,"Glen","Dog","Chihuahua","2004-04-18","Male","AKC","Yellow",232.26,,"",,,"",1,209.04,30.31
386,162,"2004-03-10",22,"Inga","Adkins","(706) 977-4337","8831 Cardinal Lane","Dalton","GA","30720",172,"Jackie","Dog","Boston Terrier","2004-08-13","Female","AKC","Gray",242.28,,"",,,"",1,218.06,30.31
387,162,"2004-03-10",22,"Inga","Adkins","(706) 977-4337","8831 Cardinal Lane","Dalton","GA","30720",,"","","","","","","",,7,"Dog Toy",134,4,"Dog",2,3.6,30.31
388,162,"2004-03-10",22,"Inga","Adkins","(706) 977-4337","8831 Cardinal Lane","Dalton","GA","30720",,"","","","","","","",,15,"Dog Food-Can-Regular",452,0.4,"Dog",12,0.36,30.31
389,162,"2004-03-10",22,"Inga","Adkins","(706) 977-4337","8831 Cardinal Lane","Dalton","GA","30720",,"","","","","","","",,33,"Collar-Dog-Medium",92,15,"Dog",2,13.5,30.31
